영문테이블,한글테이블,영문컬럼,한글컬럼,DATA TYPE,NULL 여부,정수,소수점,PK
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CCODEL,프로젝트관리_공통코드기본변경로그,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,MNU_ID,메뉴ID,VARCHAR2,N,10,,Y
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,HRK_MNU_ID,상위메뉴ID,VARCHAR2,Y,10,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,SYS_HRK_MNU_ID,시스템상위메뉴ID,VARCHAR2,Y,10,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,MNU_NM,메뉴명,VARCHAR2,N,100,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,MNU_TP_C,메뉴유형코드,VARCHAR2,N,3,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,SRE_PTH,화면경로,VARCHAR2,Y,300,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,MNU_SOT_SQN_SNO,메뉴정렬순서일련번호,NUMBER,N,9,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,HID_YN,숨김여부,VARCHAR2,N,1,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,MNU_DEP,메뉴깊이,NUMBER,N,3,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,WHL_MNU_PTH,전체메뉴경로,VARCHAR2,N,500,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CMENUM,프로젝트관리_공통메뉴기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CMENUD,프로젝트관리_공통메뉴상세,SRE_PTH,화면경로,VARCHAR2,N,300,,Y
