No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,BATCH오류사유내용,BTC_ERR_RSN_CONE,VARCHAR2,255,,배치 실행시 오류발생 사유내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,BATCH오류일련번호,BTC_ERR_SNO,NUMBER,18,,배치 오류 일련번호 : YYYYMMDDHHMISSSSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,BATCH유형명,BTC_TP_NM,VARCHAR2,100,,배치 유형 명 (예 : AUTO: cron tab 으로 등록되어 일정 시간마다 실행. ONLN: 매뉴얼로 실행시킬 배치 목록. SCHD: 스케쥴러의 통제를 받아 실행하는 배치 목록 DEMO: 신BO 데몬으로 등록되어 실행되는 배치 목록. APPR : App Run 으로 구동되어 실행되는 배치 목록),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,BATCH유형코드,BTC_TP_C,VARCHAR2,2,,BATCH 구분코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,BATCH일련번호,BTC_SNO,NUMBER,9,,배치로 생성된 데이터의 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,BATCH작업ID,BTC_WRK_ID,VARCHAR2,13,,배치작업을 구분하는 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,BATCH작업결과오류코드ID,BTC_WRK_RLT_ERR_C_ID,VARCHAR2,10,,배치작업완료시 해당 배치프로그램의 표준오류코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,BATCH작업구분코드,BTC_WRK_TC,VARCHAR2,2,,실시간 배치를 수행하기 위한 배치구분코드이다.(10:재무정보반영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,BATCH작업내용,BTC_WRK_CONE,VARCHAR2,1000,,[BATCH_작업_내용] : batch 작업의 내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,BATCH작업상세일련번호,BTC_WRK_DTL_SNO,NUMBER,9,,BATCH처리의 기준이 되는 작업 상세 일련번호 (결산처리등 다량의 데이터를 처리하기위함),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
