ID	유형	위험도	언어	레퍼런스	체커 타입	체커 키	체커명	라인	파일명	함수	경로	A.S	유사 이슈 그룹	이슈 상태	이슈 담당자	검출 시간	체커 설명	이슈 의견
967197	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	59	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967198	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	62	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967199	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	62	BudgetReadProjectionIt.java	예산읽기프로젝션은집계에필요한일곱필드를엔티티와동일하게반환한다	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/budget/work/repository/BudgetReadProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967200	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	91	FeasibilityServiceTest.java	getFeasibility_데이터있음_통합응답반환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967201	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	90	FeasibilityServiceTest.java	getFeasibility_데이터있음_통합응답반환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967202	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	429	FeasibilityServiceTest.java	getFeasibility_자체점검있음_DTO변환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967203	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	428	FeasibilityServiceTest.java	getFeasibility_자체점검있음_DTO변환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967204	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	427	FeasibilityServiceTest.java	getFeasibility_자체점검있음_DTO변환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967205	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	451	FeasibilityServiceTest.java	getFeasibility_점검성과지표있음_DTO변환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967206	신규	매우위험	Java/JSP		품질	NULL_RETURN	널 반환 값 역참조	450	FeasibilityServiceTest.java	getFeasibility_점검성과지표있음_DTO변환	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/council/service/FeasibilityServiceTest.java	Y		미확인	없음	2026-08-11 0:00	널 반환 값 역참조 체커는 반환된 널 값을 확인 없이 역참조하는 경우를 검출합니다.	
967207	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	64	EstimateDetailProjectionIt.java	entityAndViewReturnEquivalentDetailFields	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/estimate/repository/EstimateDetailProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967208	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	65	EstimateDetailProjectionIt.java	entityAndViewReturnEquivalentDetailFields	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/estimate/repository/EstimateDetailProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967209	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	70	EstimateDetailProjectionIt.java	entityAndViewReturnEquivalentDetailFields	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/estimate/repository/EstimateDetailProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967210	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	68	EstimateDetailProjectionIt.java	entityAndViewReturnEquivalentDetailFields	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/estimate/repository/EstimateDetailProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
967211	신규	매우위험	Java/JSP		품질	NULL_RETURN_STD	표준 라이브러리의 널 반환 값 역참조	70	EstimateDetailProjectionIt.java	entityAndViewReturnEquivalentDetailFields	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/test/java/com/kdb/it/domain/estimate/repository/EstimateDetailProjectionIt.java	Y		미확인	없음	2026-08-11 0:00	표준 라이브러리의 널 반환 값 역참조 체커는 Java 표준 라이브러리 메소드중에서 널을 반환할 가능성이 있는 메소드의 반환 값을 확인 없이 역참조하는 경우를 검출합니다.	
