PRLM_OGZ_C_CONE	BBR_NM	BBR_WREN_NM	ITM_SQN_SNO	PRLM_HRK_OGZ_C_CONE	USE_YN	FST_ENR_USID	FST_ENR_DTM	DEL_YN	GUID	GUID_PRG_SNO	LST_CHG_USID	LST_CHG_DTM
932	홍콩지점	Hong Kong Branch	921	020	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
440	재무기획부	Financial Planning Department	155	038	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
022	금융소비자보호 총괄책임자	Chief Consumer Officer	130	002	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
024	국민성장펀드부문	National Growth Fund Division	2	003	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
348	소비자보호부	Financial Consumer Protection Department	168	022	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
035	심사평가부문	Credit Review Division	25	003	Y	IAMADMIN	2026-06-19 10:53:39.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:39.000
997	KDB아일랜드	KDB Ireland Designated Activity Company	941	020	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
445	M&A컨설팅실	M&A Consulting Department	105	074	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
956	광저우지점	GuangZhou Branch	913	020	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
783	금정지점	Geumjeong Branch	295	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
706	김포지점	Gimpo Branch	257	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
912	뉴욕지점	New York Branch	903	020	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
736	동탄지점	Dongtan Branch	275	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
708	반포지점	Banpo Branch	219	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
862	분당지점	Bundang Branch	277	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
328	성동지점	Seongdong Branch	247	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
942	시드니지점개설준비위	Sydney Representative Office	923	020	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
911	싱가폴지점	Singapore Branch	911	020	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
610	안전관리부	Security Control Department	133	018	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
312	여의도지점	Yeouido Branch	251	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
726	오창지점	Ochang Branch	335	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
710	인천지점	Incheon Branch	271	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
750	전주지점	Jeonju Branch	353	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
810	창원지점	Changwon Branch	307	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
953	칭다오지점	Qingdao Branch	919	020	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
797	한티지점	Hanti Branch	233	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
300	자금부	Treasury Department	159	038	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
084	벤처금융본부	Venture Finance Center	9	087	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
939	KDB실리콘밸리	KDB Silicon Valley LLC	69	087	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
224	총괄사무국	Fund Management Department	51	024	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
225	대출운용국	Loan Operations Department	52	024	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
227	심사지원국	Credit Review Service Department	54	024	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
363	동남권투자금융센터	Southeast Investment Finance Center	63	088	Y	IAMADMIN	2026-06-19 10:53:48.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:48.000
347	산업기술리서치센터	Industry & Technology Research Center	151	077	Y	IAMADMIN	2026-06-19 10:53:48.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:48.000
361	지역기업종합지원센터	Regional Corporate Support Center	59	088	Y	IAMADMIN	2026-06-19 10:53:48.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:48.000
112	PF1실	Project Finance Department I	109	027	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
346	해양산업금융1실	Maritime Finance Department I	57	076	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
185	디지털전략부	Digital Transformation Department	133	013	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
182	디지털금융부	e-Banking System Department	139	013	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
475	벤처투자1실	Venture Investment Banking Department I	69	084	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
270	신탁실	Trust Department	125	016	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
142	개발금융연구센터	Development Finance Research Center	153	077	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
466	기업구조조정1실	Corporate Restructuring Department I	83	078	Y	IAMADMIN	2026-06-19 10:53:49.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:49.000
999	테스트	[NULL]	131	002	N	IAMADMIN	2026-07-06 10:39:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-07-06 10:52:21.000
616	KDB비즈	KDB Biz	129	002	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
014	준법감시인	Chief Compliance Officer	39	003	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
118	홍보실	Public Relations Department	50	003	Y	IAMADMIN	2026-06-19 10:53:39.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:39.000
021	정보보호최고책임자	Chief Information Security Officer	41	003	Y	IAMADMIN	2026-06-19 10:53:40.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:40.000
013	IDT본부	IDT Center	132	018	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
486	간접투자금융실	Indirect Investment Banking Department	63	087	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
