테이블명	테이블한글명	컬럼명	컬럼한글명	"PK여부"	"NULL여부"	Default Value	타입	길이	"소수점"
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	FLF_FSG_DT	이행완료일자		Y		VARCHAR2	8	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	HRF_PLN_CONE	향후계획내용		Y		VARCHAR2	300	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	LST_YN	최종여부		Y		VARCHAR2	1	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	MN_PRG_CONE	주요진행내용		Y		VARCHAR2	2000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ODN_YN	경상여부		Y		VARCHAR2	1	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	PLM_DES	문제설명		Y		VARCHAR2	4000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	PRLM_HRK_OGZ_C_CONE	인사상위조직코드내용		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SVN_DPM_C	주관부서코드		Y		VARCHAR2	20	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SVN_DPM_NM	주관부서명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SVN_TEM_C	주관팀코드		Y		VARCHAR2	5	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SVN_TEM_NM	주관팀명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	TLR_USID	팀장사용자ID		Y		VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	TLR_NM	팀장명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	USID	사용자ID		Y		VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	USR_NM	사용자명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DVM_DPM_C	개발부서코드		Y		VARCHAR2	20	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DVM_TEM_C	개발팀코드		Y		VARCHAR2	5	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DVM_TLR_USID	개발팀장사용자ID		Y		VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DVM_USID	개발사용자ID		Y		VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	BZ_DTT_NM	업무구분명		Y		VARCHAR2	100	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	SKL_FLD_NM	기술분야명		Y		VARCHAR2	500	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	CST_TP_TC_NM	고객유형구분코드명		Y		VARCHAR2	1000	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	ABUS_PPO_CONE	사업목적내용		Y		VARCHAR2	300	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	IT_PTL_EDRT_TC	IT포탈전결권구분코드		Y		VARCHAR2	2	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	IT_PTL_RPR_STS_TC	IT포탈보고상태구분코드		Y		VARCHAR2	2	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	TOT_RQM_AMT	총소요금액		Y		NUMBER	18	3
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	MPL_AMT	예정금액		Y		NUMBER	18	3
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DFR_AMT	지급금액		Y		NUMBER	18	3
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BPROJM	프로젝트관리_정보화사업기본	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	GCL_MNG_NO	품목관리번호	Y	N		VARCHAR2	16	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	SNO	일련번호	Y	N		NUMBER	9	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	ABUS_MNG_NO	사업관리번호		Y		VARCHAR2	30	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	FNT_TB_CRY_SNO	원천테이블적재일련번호		Y		NUMBER	10	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	BSE_YM	기준년월		Y		VARCHAR2	6	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	CNCD_FDTN_CONE	관련근거내용		Y		VARCHAR2	600	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	DFR_CLE_C	지급주기코드		N		VARCHAR2	1	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	GCL_NM	품목명		Y		VARCHAR2	100	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	IOE_C	비목코드		Y		VARCHAR2	7	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	ITR_INFR_YN	통합인프라여부		Y		VARCHAR2	1	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	SECT_SYS_UTZ_YN	보안시스템운용여부		Y		VARCHAR2	1	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	QTY	수량		Y		NUMBER	10	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	AMT	금액		Y		NUMBER	18	3
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	MPL_AMT	예정금액		N	0	NUMBER	18	3
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	FC_AMT	외화금액		Y		NUMBER	18	3
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	CUR_C	통화코드		Y		VARCHAR2	3	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	XCR	환율		Y		NUMBER	9	4
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	XCR_BSE_DT	환율기준일자		Y		VARCHAR2	8	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	LST_YN	최종여부		Y		VARCHAR2	1	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_BITEMM	프로젝트관리_정보화사업품목기본	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	LOG_HIS_TGR_SNO	로그이력전문일련번호	Y	N		NUMBER	18	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	TMN_MNG_NO	단말관리번호		N		VARCHAR2	16	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	SNO	일련번호		N		NUMBER	9	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	BG_NO	예산번호		Y		VARCHAR2	15	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	BG_SNO	예산일련번호		Y		NUMBER	9	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	CGPR_ID	담당자ID		Y		VARCHAR2	14	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	CGPR_NM	담당자명		Y		VARCHAR2	100	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	DFR_CLE_C	지급주기코드		N		VARCHAR2	1	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	IND_RSN	증감사유		Y		VARCHAR2	200	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	NSF_USG_CONE	소요자금용도내용		Y		VARCHAR2	200	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	RMK	비고		Y		VARCHAR2	300	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	SPF_TMN_NM	특정단말명		Y		VARCHAR2	100	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	SVN_DPM_C	주관부서코드		Y		VARCHAR2	20	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	SVN_TEM_C	주관팀코드		Y		VARCHAR2	5	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	AMT	금액		Y		NUMBER	18	3
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	FC_AMT	외화금액		Y		NUMBER	18	3
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	CUR_C	통화코드		Y		VARCHAR2	3	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	XCR	환율		Y		NUMBER	9	4
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	XCR_BSE_DT	환율기준일자		Y		VARCHAR2	8	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	IT_PTL_TMN_SVC_TC	IT포탈단말서비스구분코드		Y		VARCHAR2	2	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	IT_PTL_TMN_KD_TC	IT포탈단말종류구분코드		Y		VARCHAR2	2	
TPRMPP_BTERML	프로젝트관리_전산업무비단말기기본변경로그	CHG_DTT_YN	변경구분여부		N		VARCHAR2	1	
