인덱스명	Column	테이블	인덱스 유형	Ascending	Expression	Unique	Tablespace
PK_TPRMPP_BPLANM	REQ_DOC_NO	TPRMPP_BPLANM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CAPPLM_01	DCD_REQ_USID, IT_PTL_APF_PRG_STS_C, DCD_REQ_DTM	TPRMPP_CAPPLM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CAPPLM	APF_DCM_NO	TPRMPP_CAPPLM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCHKLL_01	CHG_DTM	TPRMPP_BCHKLL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BCHKLL	LOG_HIS_TGR_SNO	TPRMPP_BCHKLL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BCONTL	LOG_HIS_TGR_SNO	TPRMPP_BCONTL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CORGNI_01	PRLM_HRK_OGZ_C_CONE	TPRMPP_CORGNI	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CORGNI	PRLM_OGZ_C_CONE	TPRMPP_CORGNI	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZPM	ABUS_MNG_NO	TPRMPP_BBIZPM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CDECIM_01	DCR_ENO, IT_PTL_DCD_STS_C, APF_DCM_NO	TPRMPP_CDECIM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CDECIM	APF_DCM_NO, DCR_SQN_SNO	TPRMPP_CDECIM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BRSLTL_01	CHG_DTM	TPRMPP_BRSLTL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BRSLTL	LOG_HIS_TGR_SNO	TPRMPP_BRSLTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZPL	LOG_HIS_TGR_SNO	TPRMPP_BBIZPL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPAYTM	DOC_MNG_NO, DOC_VRS_SNO, DFR_TOD	TPRMPP_BPAYTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BRIVGM_01	DOC_MNG_NO, DEL_YN, FSG_YN	TPRMPP_BRIVGM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BRIVGM_02	DOC_MNG_NO, DOC_VRS_SNO, DEL_YN, FST_ENR_DTM	TPRMPP_BRIVGM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BRIVGM	IPM_OPNN_SNO	TPRMPP_BRIVGM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BESTIM_01	IT_PTL_STS_TC	TPRMPP_BESTIM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BESTIM	RQM_BG_REQ_DOC_NO, DOC_VRS_SNO	TPRMPP_BESTIM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPERFL_01	CHG_DTM	TPRMPP_BPERFL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPERFL	LOG_HIS_TGR_SNO	TPRMPP_BPERFL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBUGTM	BG_NO, SNO	TPRMPP_BBUGTM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BEVALM	IT_PTL_ASCT_ID, ENO, IT_PTL_CKG_ITM_TC	TPRMPP_BEVALM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BTERML_01	CHG_DTM	TPRMPP_BTERML	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BTERML	LOG_HIS_TGR_SNO	TPRMPP_BTERML	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BCHKLM	IT_PTL_ASCT_ID, IT_PTL_CKG_ITM_TC	TPRMPP_BCHKLM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CCMMTM_01	NAC_NO, CMMT_TGT_SNO, DEL_YN, CMMT_SQN_SNO	TPRMPP_CCMMTM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CCMMTM	CMMT_SNO	TPRMPP_CCMMTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPOVWL_01	CHG_DTM	TPRMPP_BPOVWL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPOVWL	LOG_HIS_TGR_SNO	TPRMPP_BPOVWL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CMFATM_01	APN_CER_CRTT_TOK_CONE	TPRMPP_CMFATM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CMFATM_02	END_DTM	TPRMPP_CMFATM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CMFATM	APN_CER_TR_TOK_CONE	TPRMPP_CMFATM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCMMTM_01	ENO, DEL_YN, IT_PTL_ASCT_ID	TPRMPP_BCMMTM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BCMMTM	IT_PTL_ASCT_ID, IT_PTL_ASCT_MEB_TC, ENO	TPRMPP_BCMMTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BGDOCM_01	DEL_YN, DOC_MNG_NO, DOC_TTL_CONE	TPRMPP_BGDOCM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BGDOCM	DOC_MNG_NO	TPRMPP_BGDOCM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BTERMM_01	BG_NO, BG_SNO	TPRMPP_BTERMM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BTERMM	TMN_MNG_NO, SNO	TPRMPP_BTERMM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CBLBCM_01	BBR_C	TPRMPP_CBLBCM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CBLBCM_02	FST_ENR_USID, DEL_YN	TPRMPP_CBLBCM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CBLBCM_03	HRK_NAC_NO	TPRMPP_CBLBCM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CBLBCM_04	NAC_UNQ_ID, GRP_SQN_SNO	TPRMPP_CBLBCM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CBLBCM	NAC_NO	TPRMPP_CBLBCM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BASCTM_01	ABUS_MNG_NO, SNO, DEL_YN	TPRMPP_BASCTM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BASCTM	IT_PTL_ASCT_ID	TPRMPP_BASCTM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZSL	LOG_HIS_TGR_SNO	TPRMPP_BBIZSL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BESTIL	LOG_HIS_TGR_SNO	TPRMPP_BESTIL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPAYML	LOG_HIS_TGR_SNO	TPRMPP_BPAYML	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCMMTL_01	CHG_DTM	TPRMPP_BCMMTL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BCMMTL	LOG_HIS_TGR_SNO	TPRMPP_BCMMTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CBLBCL	LOG_HIS_TGR_SNO	TPRMPP_CBLBCL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CLANGL	LOG_HIS_TGR_SNO	TPRMPP_CLANGL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BESTTL	LOG_HIS_TGR_SNO	TPRMPP_BESTTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CROLEI	ATH_ID, ENO	TPRMPP_CROLEI	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BCOSTM_01	BSE_YY, DEL_YN, LST_YN, IOE_C	TPRMPP_BCOSTM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BCOSTM_02	SVN_DPM_C, DEL_YN, LST_YN	TPRMPP_BCOSTM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BCOSTM	BG_NO, BG_SNO	TPRMPP_BCOSTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPLANA_01	REQ_DOC_NO, DEL_YN, ABUS_MNG_NO	TPRMPP_BPLANA	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPLANA	ABUS_MNG_NO, REQ_DOC_NO	TPRMPP_BPLANA	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPOVWM	IT_PTL_ASCT_ID	TPRMPP_BPOVWM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CBLBMM_01	USE_YN, SRE_SQN_SNO	TPRMPP_CBLBMM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CBLBMM	BLB_ID	TPRMPP_CBLBMM	Normal	[NULL]	[NULL]	true	TSIITP01
